ra,turma
11002112,NA2NHT1002-15SB
11002112,NA1BCJ0204-15SB
11002112,NA3BCN0407-15SA
11002112,DB2BCK0104-15SA
11002112,DAMCTC019-15SB
11201921240,DB1BIR0004-15SA
11201921240,DABCL0306-15SA
11201921240,DA1BIR0603-15SA
21077113,NABHQ0002-15SA
21077113,NS3BCK0103-15SA
21077113,NAMCTD023-18SA
21077113,NAMCTD009-18SA
21077113,NA3BCK0104-15SA
11201721638,NS1BIK0102-15SA
11201721638,NB1BCJ0205-15SA
11201721638,NA3MCTB019-17SA
11201721638,NB5BCL0307-15SA
11049814,NAESTA005-17SA
11049814,NAESZU016-17SA
11049814,NAESTA008-17SA
11049814,NA2ESTI013-17SA
11201812038,DABHQ0001-15SB
11201812038,DABHQ0003-15SB
11201812038,DAESHP024-14SB
11201812038,DAESZP029-13SB
11107815,DA1BIR0004-15SB
11107815,DAESZR002-13SB
11107815,DBBHQ0301-15SB
11201811685,DB2BIR0603-15SA
11201811685,DS1BCK0103-15SA
11201811685,DA1ESTO011-17SA
11201811685,DA1ESTO005-17SA
11201811685,DA5BCL0307-15SA
11201721630,DAESZG031-17SB
11201721630,DAESTO011-17SB
11201721630,NAESTG009-17SB
11201721630,NA1ESTO008-17SA
11201721630,NAESZG040-17SB
11201721630,DAESTG016-17SB
11201921313,DA1BCJ0205-15SB
11201921313,DA1BCN0407-15SB
11201921313,DA2BCM0505-15SB
11201921313,DA3BCL0307-15SB
11102814,NS2BCK0103-15SA
11102814,NBBCN0402-15SA
11102814,NA4BCN0407-15SA
21070012,NAESZP009-13SB
11042216,NANHZ1027-15SA
11042216,NB1BCN0407-15SA
11042216,DANHT1057-15SA
11042216,DAESZB022-17SA
11042216,DA3BCS0002-15SA
11042216,DANHZ4069-15SA
11001816,NB1ESTO013-17SB
11001816,DDESTO005-17SA
11001816,NA2ESTO008-17SA
11001816,NA3BCM0505-15SA
11201723015,DANHT1002-15SA
11201723015,DANHZ1009-15SA
11201723015,DA1BCL0308-15SA
11201723015,DANHZ1078-15SA
11201723015,DA2NHI5001-15SA
11201723015,DAESTU012-17SA
21073315,NAESTU026-17SA
21073315,NAESTE036-17SA
21073315,NAESTO016-17SA
21073315,NA1NHT4017-15SA
21073315,NAESZG040-17SB
21073315,NAESTU015-17SA
11201920527,DA1NHZ3087-15SA
11201920527,NB5BCJ0205-15SA
11201920527,NBBCN0402-15SA
11201920527,DB1BCN0407-15SB
11201920527,DSBCM0505-15SA
11201920527,NB2BCL0307-15SA
21073916,NAESHR001-13SB
21073916,NAESHR003-13SB
21073916,NAESHR903-18SB
21057913,NA1MCTB010-13SB
21057913,NAESZA023-17SA
21057913,DAESTA010-17SA
21057913,NAESZA010-17SA
21057913,NAESTO014-17SA
11045315,NA2NHT1002-15SB
11045315,NANHT1053-15SB
11045315,DANHZ2031-11SA
11045315,DC1ESTO012-17SA
11045315,NAESTB009-17SB
11045315,NAESZU036-17SA
11005116,NIESTS016-17SB
11005116,NAESTS005-17SB
11005116,NAESTS007-17SB
11201920856,DB2BCJ0205-15SB
11201920856,NA1BCN0407-15SB
11201920856,DAESTS003-17SB
11201920856,NA2BCM0505-15SB
11201920856,NA6BCL0307-15SA
11002813,DA2NHT1002-15SB
11201810602,NA1BIR0603-15SB
11201810602,NB1ESTO013-17SB
11201810602,NANHH2007-13SB
11201810602,NB1ESTO016-17SB
11201810602,NAESTO011-17SB
11201810602,NA1BCK0104-15SB
11084213,NA2ESTA001-17SA
11084213,NA1ESTA023-17SA
11084213,DAESTA016-17SA
11084213,DAESTO008-17SA
11084213,DC1ESTO012-17SA
21070214,NANHH2007-13SB
21070214,DANHH2012-13SB
21070214,DANHZ2014-11SB
21070214,NANHH2015-13SB
21070214,NANHH2020-13SB
21070214,DA2ESHP016-13SB
21070214,DAESHP025-14SB
21070214,DANHH2064-13SB
21080412,NAMCTB001-17SB
11201723022,DANHT1053-15SB
11201723022,DA2BCJ0204-15SA
11201723022,DABCN0402-15SA
11201723022,DB1ESTO012-17SA
13201723137,NAESHC024-17SB
11201811299,DA2ESTO001-17SA
11201811299,DA1BIQ0602-15SA
11201811299,DAESTO016-17SA
11201811299,DA1BCK0104-15SA
11201811299,DA1ESTO005-17SA
11201811299,DA1ESTO012-17SA
11201811299,DB2BCS0002-15SA
11201920641,NBBCN0402-15SA
11201920641,NB3BCM0505-15SA
11201920641,NB3BCL0307-15SA
21086413,NABHO0102-15SB
21086413,NAESHT006-17SB
21086413,NAESHC019-17SB
21086413,NABHQ0001-15SB
11201810537,NA1BIR0004-15SA
11201810537,DA1BCN0402-15SA
11201810537,NA4BCN0407-15SA
11201810537,NAESZM002-17SA
11201810537,NA8BCM0505-15SA
11024613,NB1MCTB010-13SA
11024613,NAESTE031-17SA
11024613,NAESTE032-17SA
11024613,NAESTE025-17SA
21087314,NA1ESTO001-17SB
21087314,NC4BCJ0205-15SB
21087314,DA3BCN0407-15SB
21087314,NA2BCM0505-15SB
21087314,DAESZB016-17SB
11030509,DAESTB019-17SB
11030509,DAESTB027-17SB
11030509,DA1ESTO012-17SA
11100411,NAESZE025-17SA
11100411,NAESTA017-17SA
11100411,NAESZE090-17SA
11100411,NAESZE081-17SA
21025414,NB3BIS0005-15SB
21025414,NABHO0102-15SB
21025414,NABHP0001-15SB
21025414,DANHH2012-13SB
21025414,NAESHP025-14SB
21025414,NAESHP029-14SB
11201922014,DA1BIR0603-15SA
11201922014,DB1BCJ0204-15SA
11201922014,NBBCN0402-15SA
11201922014,NABCN0404-15SA
11111209,NA2NHI5001-15SA
11111209,NANHT3065-15SA
11111209,NANHT3037-13SA
11111209,NANHT3044-15SA
11111209,NANHT3091-15SA
11101613,NA1ESTA013-17SA
11101613,NAESZA023-17SA
11101613,NBESTA016-17SA
11101613,NA2ESTI013-17SA
11201722436,NAMCTB009-17SB
11201722436,NB1ESTO016-17SB
11201722436,NAESTO011-17SB
11201722436,NA3BCL0307-15SB
11010111,NAMCZA008-17SA
11010111,NA1MCTB019-17SA
11201920117,NA1NHI5001-15SA
11201920117,DANHI5002-15SB
11201920117,DANHZ5020-15SA
11201920117,DABHQ0002-15SB
11201920117,DABHO0001-15SB
11201920117,DABHQ0301-15SB
11201920117,NC2BCL0307-15SA
21031311,DAESHC038-17SB
21031311,NAESZP009-13SB
11127809,NAMCTB001-17SA
11127809,NB1ESTO903-17SA
11127809,NAESZM002-17SA
11127809,NAESZM040-17SA
21063415,NAESTE004-17SA
21063415,DA1ESTE027-17SA
21063415,NAESTO015-17SB
21063415,NAESZE113-17SA
21063415,NBESTO014-17SA
21063415,DAESTE022-17SA
11081709,NIESTS016-17SB
11081709,NAESTS005-17SB
11085216,NA1BCL0308-15SA
11085216,NANHT1061-15SA
11085216,NANHT1058-15SA
11035614,NA2ESTA001-17SA
11035614,NA3BCJ0204-15SA
11035614,NA2ESTO011-17SA
11201812123,NB1BIR0603-15SA
11201812123,DBESZG013-17SB
11201812123,DA1BCK0104-15SB
11201812123,NB2ESTO006-17SA
11201812123,NA1ESTO008-17SA
11201722779,DAESZG041-17SB
11201722779,NB1BCK0104-15SA
11201722779,DA2MCTC014-13SB
11201722779,DC2ESTO006-17SA
11201722779,NAESZG040-17SB
11201722779,DB2BCS0002-15SA
11201722779,DAESZG007-17SB
11201722779,DAESTG024-17SB
11201920575,DB2BIR0603-15SA
11201920575,DB2BCJ0205-15SA
11201920575,DA1ESTO005-17SA
11201920575,DB2BCM0505-15SA
13201910061,NAESZR002-13SB
13201910061,NABHQ0001-15SB
13201910061,NAESHR023-14SB
13201910061,NABHP0201-15SB
11066213,NAESZE090-17SA
11201922339,DB3BIS0005-15SB
11201922339,DB1BIQ0602-15SB
11201922339,DBBHQ0002-15SB
11201922339,DBBHP0001-15SB
11201922339,DBBHQ0301-15SB
21044013,DA1NHI5001-15SA
21044013,DANHZ5020-15SA
21044013,DANHT3091-15SA
11201920378,NBBCN0402-15SA
11201920378,NA2ESTO011-17SA
11201920378,NB5BCM0505-15SA
11201920378,DAESZU016-17SA
11201920378,NB4BCL0307-15SA
21008315,NAESTB029-17SB
21008315,NAESTB004-17SB
21008315,NAESTB027-17SB
21008315,NAESTB025-17SB
11201810101,DB1BCJ0204-15SA
11201810101,NB1BCN0402-15SA
11201810101,DAMCZC011-15SB
11201810101,NB4BCL0307-15SA
11002915,NAESTM001-17SA
11201811049,DB1BIR0603-15SA
11201811049,DA1MCTA006-17SA
11201811049,DS3BCK0103-15SA
11201811049,DA4BCM0505-15SA
21032816,NAESTS002-17SB
21032816,NAMCTB001-17SA
21032816,NA1BIR0004-15SA
21032816,DA1BCL0308-15SA
21032816,DAMCTB009-17SB
11026011,DPMCZA006-17SA
11201932503,DA1BIQ0602-15SA
11201932503,DA1BCN0402-15SA
11201932503,NA1BCN0404-15SA
11201932503,DA8BCM0505-15SA
11201932503,NA4BCL0307-15SA
11012316,DAESTG002-17SB
11012316,DAESZG031-17SB
11012316,DAESTG024-17SB
11201920333,DA4BCJ0205-15SB
11201920333,DA1BCN0407-15SB
11201920333,DA1BCM0505-15SB
11201920333,DA1BCL0307-15SA
21055316,NB1MCTB010-13SA
21055316,NAMCTD009-18SA
21055316,NA3MCTB019-17SA
21055316,NAMCTD016-18SA
11201922310,NBESHC018-17SB
11201922310,NABHQ0001-15SB
11201922310,NAESHC024-17SB
11201922310,NA2BHS0001-15SB
11201722296,NAESTB019-17SB
11201722296,DANHZ1009-15SA
11201722296,DA2BCK0104-15SA
11201722296,NANHT1058-15SA
11201722296,NAMCTC023-15SB
11201722296,DSBCM0505-15SB
11032014,NA1MCTB010-13SB
11032014,NA1ESTO006-17SA
11032014,NAESTO014-17SA
11032014,NA1MCZA030-17SA
13201812294,NAESHC033-17SB
13201812294,NAESZC028-17SB
13201812294,NAESZG013-17SB
13201812294,NBESHC016-17SB
13201812294,NA1MCTC014-13SB
13201812294,NAESHP025-14SB
11201920236,DB1BIS0005-15SB
11201920236,DANHH2007-13SB
11201920236,DABHP0001-15SB
11201920236,DANHH2017-16SB
11201920236,DANHH2033-13SB
11201920236,DABHQ0003-15SB
11201920236,DABHO0001-15SB
21065813,NA1ESHT008-17SB
21065813,NA2MCTC014-13SB
21089615,NA1ESTS011-17SB
11201811714,NA3MCTA006-17SA
11201811714,NA2NHT5012-15SA
11201811714,NA1MCZA030-17SA
11108712,DA2ESTO903-17SA
11108712,NB1BCJ0204-15SA
11108712,DA1BCN0404-15SB
11108712,DAESZI013-17SA
11108712,DA1BCK0104-15SA
11108712,DAESTO008-17SA
11201811707,NAMCTB001-17SB
11201811707,DA1BCL0308-15SB
11201811707,DBNHZ3087-15SB
11201811707,NABHP0001-15SB
11201811707,NB3BCJ0205-15SB
11201811707,DS1BCK0103-15SA
11201921586,NA1BIS0005-15SB
11201921586,NABIQ0602-15SB
11201921586,NABHQ0002-15SB
11201921586,NABHP0001-15SB
11201921586,NABHO0001-15SB
11201921586,NABHQ0301-15SB
11084613,DAESHR003-13SB
11084613,DA1ESHT008-17SB
11084613,DAESZT016-17SB
21033215,DAESZU034-17SA
21033215,NAMCTD010-13SA
21033215,DAESTU015-17SA
21080814,NA3BIS0005-15SB
11042015,DBESTM014-17SA
11042015,NAESTU026-17SA
11042015,NABHQ0002-15SA
11042015,NAESTM005-17SA
11042015,NAMCTD016-18SA
11079216,NA2MCTB010-13SB
11079216,NA1ESTO001-17SB
11079216,NA2ESTA001-17SA
11079216,NAESTA006-17SA
11201920781,NB4BCJ0205-15SA
11201920781,NB1BCN0407-15SA
11201920781,NB3BCM0505-15SA
11201920781,NB5BCL0307-15SA
11117713,DA2ESTO001-17SA
11117713,NAESTG011-17SB
11117713,NA1ESTO008-17SA
11201811563,DBMCTB009-17SA
11201811563,DA1MCTB010-13SA
11201811563,DS1BCK0103-15SA
11201811563,DA1BCK0104-15SA
11201811563,DBESTO017-17SA
11201811563,DA1ESTO012-17SA
11201811129,NAESTE036-17SA
11201811129,NA3BCJ0204-15SA
11201811129,NBBCN0402-15SA
11201920520,DB3BCJ0204-15SA
11201920520,DA1BCN0407-15SA
11201920520,DAESTO005-17SA
11201920520,DA4BCM0505-15SA
11201920520,DA1BCL0307-15SA
